[0.077s] Invoking command in '/home/ros/CyberTron/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/ros/CyberTron/build/my_bot -- -j16 -l16
[0.089s] [0mCMake Error: The current CMakeCache.txt directory /home/ros/CyberTron/build/my_bot/CMakeCache.txt is different than the directory /home/ros/dev_ws/build/my_bot where CMakeCache.txt was created. This may result in binaries being created in the wrong place. If you are not sure, reedit the CMakeCache.txt[0m
[0.114s] Invoked command in '/home/ros/CyberTron/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/ros/CyberTron/build/my_bot -- -j16 -l16
[0.137s] Invoking command in '/home/ros/CyberTron/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/ros/CyberTron/build/my_bot
[0.142s] -- Install configuration: ""
[0.142s] -- Execute custom install script
[0.143s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/config/empty.yaml
[0.143s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/config/view_bot.rviz
[0.143s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/description/inertial_macros.xacro
[0.143s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/description/robot.urdf.xacro
[0.144s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/description/robot_core.xacro
[0.144s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/launch/rsp.launch.py
[0.144s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/worlds/empty.world
[0.144s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[0.144s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[0.145s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[0.145s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[0.145s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/environment/path.sh
[0.145s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/environment/path.dsv
[0.145s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/local_setup.bash
[0.146s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/local_setup.sh
[0.146s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/local_setup.zsh
[0.146s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/local_setup.dsv
[0.146s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/package.dsv
[0.147s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/ament_index/resource_index/packages/my_bot
[0.147s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[0.152s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[0.152s] -- Up-to-date symlink: /home/ros/dev_ws/install/my_bot/share/my_bot/package.xml
[0.154s] Invoked command in '/home/ros/CyberTron/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/ros/CyberTron/build/my_bot
